term_id	depth	relation_to_parent	parent_id	name	namespace	definition	obsolete
GO:0030016	0			myofibril	cellular_component	"The contractile element of skeletal and cardiac muscle; a long, highly organized bundle of actin, myosin, and other proteins that contracts by a sliding filament mechanism." [ISBN:0815316194]	false
GO:0097512	1	is_a	GO:0030016	cardiac myofibril	cellular_component	"A cardiac myofibril is a myofibril specific to cardiac muscle cells." [GOC:cjm, GOC:devbiol]	false
GO:0098723	1	is_a	GO:0030016	skeletal muscle myofibril	cellular_component	"A myofibril of a skeletal muscle fiber." [GOC:dos]	false
GO:0030017	1	part_of	GO:0030016	sarcomere	cellular_component	"The repeating unit of a myofibril in a muscle cell, composed of an array of overlapping thick and thin filaments between two adjacent Z discs." [ISBN:0815316194]	false
GO:0036379	1	part_of	GO:0030016	myofilament	cellular_component	"Any of the smallest contractile units of a myofibril (striated muscle fiber)." [Wikipedia:Myofilament]	false
GO:0043034	1	part_of	GO:0030016	costamere	cellular_component	"Regular periodic sub membranous arrays of vinculin in skeletal and cardiac muscle cells, these arrays link Z-discs to the sarcolemma and are associated with links to extracellular matrix." [GOC:jl, GOC:mtg_muscle, ISBN:0198506732, PMID:6405378]	false
GO:0005863	2	part_of	GO:0030017	striated muscle myosin thick filament	cellular_component	"Bipolar filaments formed of polymers of a muscle-specific myosin II isoform, found in the middle of sarcomeres in myofibrils." [GOC:mtg_muscle, ISBN:0815316194]	false
GO:0005865	2	part_of	GO:0030017	striated muscle thin filament	cellular_component	"Filaments formed of actin and associated proteins; attached to Z discs at either end of sarcomeres in myofibrils." [ISBN:0815316194]	false
GO:0031672	2	part_of	GO:0030017	A band	cellular_component	"The dark-staining region of a sarcomere, in which myosin thick filaments are present; the center is traversed by the paler H zone, which in turn contains the M line." [ISBN:0321204131]	false
GO:0031674	2	part_of	GO:0030017	I band	cellular_component	"A region of a sarcomere that appears as a light band on each side of the Z disc, comprising a region of the sarcomere where thin (actin) filaments are not overlapped by thick (myosin) filaments; contains actin, troponin, and tropomyosin; each sarcomere includes half of an I band at each end." [ISBN:0321204131]	false
GO:0005861	3	part_of	GO:0005865	troponin complex	cellular_component	"A complex of accessory proteins (typically troponin T, troponin I and troponin C) found associated with actin in muscle thin filaments; involved in calcium regulation of muscle contraction." [ISBN:0815316194]	false
GO:0005862	3	part_of	GO:0005865	muscle thin filament tropomyosin	cellular_component	"A form of the tropomyosin dimer found associated with actin and the troponin complex in muscle thin filaments." [ISBN:0815316194]	false
GO:0014705	3	part_of	GO:0031672	C zone	cellular_component	"A region of the A band in which myosin-binding protein C is located and that can be seen by electron microscopy. This is a functional zone that also includes myosin." [GOC:mtg_muscle]	false
GO:0031430	3	part_of	GO:0031672	M band	cellular_component	"The midline of aligned thick filaments in a sarcomere; location of specific proteins that link thick filaments. Depending on muscle type the M band consists of different numbers of M lines." [GOC:mtg_muscle, ISBN:0198506732, ISBN:0815316194]	false
GO:0031673	3	part_of	GO:0031672	H zone	cellular_component	"A relatively pale zone traversing the center of the A band of a sarcomere, visible in relaxed muscle fibers; consists of the central portion of thick (myosin) filaments that are not overlapped by thin (actin) filaments." [GOC:mtg_muscle, ISBN:0321204131]	false
GO:0030018	3	part_of	GO:0031674	Z disc	cellular_component	"Platelike region of a muscle sarcomere to which the plus ends of actin filaments are attached." [GOC:mtg_muscle, ISBN:0815316194]	false
GO:1990584	4	is_a	GO:0005861	cardiac Troponin complex	cellular_component	"A complex of accessory proteins (cardiac troponin T, cardiac troponin I and cardiac troponin C) found associated with actin in cardiac muscle thin filaments; involved in calcium regulation important for muscle contraction." [GOC:ame, PMID:12840750]	false
GO:1990733	4	part_of	GO:0030018	titin-telethonin complex	cellular_component	"A protein complex formed between the N-terminus of the giant sarcomeric filament protein titin and the Z-disk ligand, telethonin. The complex is part of the Z-disk of the skeletal and cardiac sarcomere. Telethonin binding to titin might be essential for the initial assembly, stabilization and functional integrity of the titin filament, and hence important for muscle contraction relaxation in mature myofibrils." [GOC:ame, PMID:16407954]	false
