kind	term_id	term_name	relation_to_parent	depth	n_entries
subtree	GO:0030016	myofibril		0	242
subtree	GO:0097512	cardiac myofibril	is_a	1	7
subtree	GO:0098723	skeletal muscle myofibril	is_a	1	0
subtree	GO:0030017	sarcomere	part_of	1	221
subtree	GO:0036379	myofilament	part_of	1	26
subtree	GO:0043034	costamere	part_of	1	16
subtree	GO:0005863	striated muscle myosin thick filament	part_of	2	3
subtree	GO:0005865	striated muscle thin filament	part_of	2	22
subtree	GO:0031672	A band	part_of	2	42
subtree	GO:0031674	I band	part_of	2	148
subtree	GO:0005861	troponin complex	part_of	3	9
subtree	GO:0005862	muscle thin filament tropomyosin	part_of	3	4
subtree	GO:0014705	C zone	part_of	3	1
subtree	GO:0031430	M band	part_of	3	28
subtree	GO:0031673	H zone	part_of	3	2
subtree	GO:0030018	Z disc	part_of	3	132
subtree	GO:1990584	cardiac Troponin complex	is_a	4	3
subtree	GO:1990733	titin-telethonin complex	part_of	4	2
