# GENERATED by aggregate.py. DO NOT EDIT BY HAND.
# generated = 2026-09-13T08:14:04Z
# input.weights = config/mass_fractions_per_entry.tsv sha256 3274a7a94a20bf9607082bce02e0585df99ba749fc0325e4580fa104a9aa9e31
# input.composition = outputs/composition/amino_acid_composition_per_protein.tsv sha256 697d977bbeec7e47388c1f272690310c061b5c6685fb7a4c9e6cc11b7297454b
# input.masses = data/pubchem/amino_acid_masses.ini sha256 ed1aac78a74e8b7ea30e21bfa52ab476433f28819d214a49a5350702a44b8216
# input.symbols = data/iupac/amino_acid_symbols.ini sha256 380d3d047c0f67df507df76a4cdd51f1b7fcde30ce050c7975b947884f8a8f0e
# input.eaa = config/aggregation_decisions.ini sha256 8012a5e1d1bc92a04dc1d0ea2f0f49eca6d18c8580c25e687e4bb46c7c5a421c
# input.mhc_actin = outputs/mass_fractions/classical_check_carroll_2004.tsv sha256 8a71ea4931439e75cc4c29aa441aaa07b4cfaa19170a01f40b5c9245b8b7236c
# input.band_families = outputs/mass_fractions/band_families.tsv sha256 8e563e7736ce33dc60ab4c87411f51c46b8bd91627c225f3c11eb96dba4c7226
# input.family_bounds = outputs/mass_fractions/family_bounds.tsv sha256 a3fb14b864e67813727f36d8bbc03ebb5d2322bee90c05b268ec1ed1f334bb25
# input.isoform_deltas = outputs/isoform_deltas.tsv sha256 82447372ff27437c32aec6d040b3b49e95b4ff3e7105812ad1bf2eb67e9c918a
# input.processing_deltas = outputs/composition/processing_mass_deltas.tsv sha256 540dc1bda5d339720737aecec76b6037dc24c36675234288d11c1635db395b5f
# input.ptm_deltas = outputs/composition/ptm_mass_deltas.tsv sha256 62864538f5dcc0830b284d312e20e5b864b67d768adf39cb64dcdfac9714a74d
# input.outside_pool = outputs/mass_fractions/dataset_rows_outside_pool.tsv sha256 651ebbaeee358c4390c9e3716a661784aab7c83474efb3fd87e3998c9e7137d9
# A1: profile = molar mixture n_a = sum_i (w_i / MW_i) count_{i,a}; p_a = n_a m_a / sum (m = residue mass or free mass). A1c: fraction mixture sum_i w_i f_{i,a}, renormalised, written as a check.
# A2: combined = every weighted entry (D58); contractile = tier 1 (within-tier weights, D31).
# A6: the profile when the MHC band family (D52, cutoff 2) or the actin band family is rescaled so MHC:actin equals each ratio the methods measured; the ratio labelled ibaq_x_mw_within_tier1 is this repository's own and reproduces the standard;
# no method is a reference for another; the other sources' slow/fast pools are placed against the gel's fiber types as classical_check_carroll_2004.tsv places them; types I and IIa only — no factor is invented for IIx
profile	fiber_type	convention	ratio_source	mhc_to_actin_target	mhc_to_actin_before_scaling	way	frac_A	frac_C	frac_D	frac_E	frac_F	frac_G	frac_H	frac_I	frac_K	frac_L	frac_M	frac_N	frac_P	frac_Q	frac_R	frac_S	frac_T	frac_V	frac_W	frac_Y
combined	I	free	ibaq_x_mw_within_tier1	2.553289056	2.557014965	scale_mhc	0.05408681276	0.01180342001	0.05821107917	0.1114124656	0.04061162375	0.03408477927	0.0220623754	0.05413204654	0.09383456884	0.08482030087	0.02729152873	0.03611932475	0.04304912266	0.04661476085	0.06950688694	0.04761674222	0.05088931184	0.05956173334	0.01550841596	0.03878270048
combined	I	free	ibaq_x_mw_within_tier1	2.553289056	2.557014965	scale_actin	0.05408749421	0.01180263207	0.05821019766	0.1114174118	0.04061080409	0.03408275257	0.02206262754	0.05413244872	0.09383581531	0.084824077	0.02729395037	0.03612098969	0.04304325666	0.04661861533	0.06950806427	0.04761517846	0.05088825005	0.05955639359	0.01550689493	0.0387821457
combined	I	free	gel	1.555555556	2.557014965	scale_mhc	0.05386940039	0.01210124903	0.05850714947	0.1093748019	0.04084727518	0.03487549417	0.02214743118	0.0546493709	0.09261105263	0.08339925414	0.02711857956	0.03556218887	0.044759652	0.04519909264	0.06905234378	0.04810932896	0.0515496916	0.06086482813	0.01597046468	0.03943135082
combined	I	free	gel	1.555555556	2.557014965	scale_actin	0.05405172527	0.01191343073	0.05827864061	0.1104705515	0.04061516521	0.03440460981	0.02229686475	0.05507675649	0.09253552428	0.08430245893	0.02806351668	0.03599480455	0.04311042091	0.0461383038	0.06932825624	0.04768780303	0.05142489458	0.05923775641	0.01555199638	0.03951651983
combined	I	free	intensity_share_deshmukh_2021 [slow (vs gel type I)]	3.834143942	2.557014965	scale_mhc	0.05433222135	0.01146723952	0.05787688385	0.1137125195	0.04034562745	0.03319224392	0.02196636698	0.05354810627	0.09521563738	0.08642433596	0.02748674858	0.03674820309	0.04111832826	0.04821272482	0.07001996169	0.04706072502	0.05014389491	0.05809083889	0.01498686917	0.03805052336
combined	I	free	intensity_share_deshmukh_2021 [slow (vs gel type I)]	3.834143942	2.557014965	scale_actin	0.0541071829	0.01174164393	0.05817252384	0.1119386027	0.04060840356	0.03390558909	0.02193369373	0.05361266282	0.09455154907	0.08511119708	0.02687034936	0.03619044719	0.04300628669	0.04688299858	0.06960703802	0.0475752029	0.05059285878	0.05973178461	0.01548206924	0.03837791592
combined	I	residue	ibaq_x_mw_within_tier1	2.553289056	2.557014965	scale_mhc	0.05006727079	0.01165927097	0.05840108774	0.1134446106	0.04198317353	0.03005816046	0.02262681467	0.0541836548	0.09546037622	0.08490116662	0.02784337237	0.03619514758	0.04213439221	0.0474201425	0.07230921186	0.0457790092	0.05011747076	0.05848259901	0.01640722472	0.04052584335
combined	I	residue	ibaq_x_mw_within_tier1	2.553289056	2.557014965	scale_actin	0.05006786948	0.01165848517	0.0584001659	0.1134495743	0.04198229927	0.03005635391	0.02262705875	0.05418402261	0.09546158306	0.08490489189	0.02784582512	0.0361967928	0.04212862383	0.04742403315	0.07231039028	0.04577747644	0.05011639293	0.05847731849	0.01640560502	0.04052523764
combined	I	residue	gel	1.555555556	2.557014965	scale_mhc	0.04987646579	0.01195596775	0.05871042539	0.1113931192	0.04223563263	0.03076190915	0.02271880652	0.05471293575	0.09423540507	0.08349625912	0.02767272406	0.03564431029	0.04381775597	0.04598965093	0.07185139699	0.04626227774	0.05077847355	0.05977460834	0.01689959281	0.04121228294
combined	I	residue	gel	1.555555556	2.557014965	scale_actin	0.05003680919	0.01176841288	0.05847122824	0.1124900536	0.04198852827	0.03034143157	0.02286822558	0.05513148923	0.09414262139	0.08438623482	0.02863212509	0.03607182099	0.04219609001	0.0469373468	0.07212628859	0.04584917688	0.05064697321	0.05816683812	0.01645399459	0.04129431091
